2024-10-20 18:10:40,981:ERROR:Exception fetching data for Congress 96, Bill hr 5685, Endpoint 'sponsors'.
2024-10-20 18:26:26,806:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 5, Endpoint 'cosponsors'.
2024-10-20 18:26:26,826:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'subjects'.
2024-10-20 18:26:26,850:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'actions'.
2024-10-20 18:26:26,866:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'summaries'.
2024-10-20 18:26:26,879:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 5, Endpoint 'relatedbills'.
2024-10-20 18:26:26,882:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'committees'.
2024-10-20 18:26:26,899:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 5, Endpoint 'summaries'.
2024-10-20 18:26:26,918:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'amendments'.
2024-10-20 18:26:26,999:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'cosponsors'.
2024-10-20 18:26:31,684:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'cosponsors'.
2024-10-20 18:26:31,740:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'amendments'.
2024-10-20 18:26:31,772:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'actions'.
2024-10-20 18:26:31,827:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'committees'.
2024-10-20 18:26:31,854:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'summaries'.
2024-10-20 18:26:31,872:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'subjects'.
2024-10-20 18:26:31,883:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'actions'.
2024-10-20 18:26:31,883:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'subjects'.
2024-10-20 18:26:31,896:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'relatedbills'.
2024-10-20 18:26:31,897:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'cosponsors'.
2024-10-20 18:26:31,902:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'amendments'.
2024-10-20 18:26:31,903:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'summaries'.
2024-10-20 18:26:31,927:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'committees'.
2024-10-20 18:26:31,928:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'relatedbills'.
2024-10-20 18:26:31,960:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'cosponsors'.
2024-10-20 18:26:31,961:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'actions'.
2024-10-20 18:26:32,055:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'amendments'.
2024-10-20 18:26:32,061:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'subjects'.
2024-10-20 18:26:32,088:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'relatedbills'.
2024-10-20 18:26:32,121:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'committees'.
2024-10-20 18:26:32,158:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'summaries'.
2024-10-20 18:26:33,713:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'summaries'.
2024-10-20 18:26:33,767:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'relatedbills'.
2024-10-20 18:26:33,868:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'amendments'.
2024-10-20 18:26:33,901:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'cosponsors'.
2024-10-20 18:26:33,916:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'actions'.
2024-10-20 18:26:33,971:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'subjects'.
2024-10-20 18:26:34,092:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'committees'.
2024-10-20 18:26:34,576:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'actions'.
2024-10-20 18:26:34,588:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'actions'.
2024-10-20 18:26:34,589:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'subjects'.
2024-10-20 18:26:34,599:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'subjects'.
2024-10-20 18:26:34,639:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'summaries'.
2024-10-20 18:26:34,641:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'amendments'.
2024-10-20 18:26:34,648:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'cosponsors'.
2024-10-20 18:26:34,649:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'relatedbills'.
2024-10-20 18:26:34,649:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'committees'.
2024-10-20 18:26:34,655:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'amendments'.
2024-10-20 18:26:34,665:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'cosponsors'.
2024-10-20 18:26:34,667:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'committees'.
2024-10-20 18:26:34,695:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'summaries'.
2024-10-20 18:26:34,727:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'committees'.
2024-10-20 18:26:34,727:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'amendments'.
2024-10-20 18:26:34,757:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'relatedbills'.
2024-10-20 18:26:34,771:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'actions'.
2024-10-20 18:26:34,797:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'cosponsors'.
2024-10-20 18:26:34,890:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'subjects'.
2024-10-20 18:26:34,916:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'relatedbills'.
2024-10-20 18:26:34,917:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'summaries'.
2024-10-20 18:26:34,952:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 5, Endpoint 'relatedbills'.
2024-10-20 18:26:34,964:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 5, Endpoint 'amendments'.
2024-10-20 18:26:34,981:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 5, Endpoint 'summaries'.
2024-10-20 18:26:35,034:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 5, Endpoint 'cosponsors'.
2024-10-20 18:26:35,082:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 5, Endpoint 'committees'.
2024-10-20 18:26:35,100:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 5, Endpoint 'subjects'.
2024-10-20 18:26:35,124:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 5, Endpoint 'actions'.
2024-10-20 18:26:36,265:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'committees'.
2024-10-20 18:26:36,268:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'relatedbills'.
2024-10-20 18:26:36,294:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'committees'.
2024-10-20 18:26:36,304:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'relatedbills'.
2024-10-20 18:26:36,313:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'actions'.
2024-10-20 18:26:36,318:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 1, Endpoint 'cosponsors'.
2024-10-20 18:26:36,350:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'actions'.
2024-10-20 18:26:36,381:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 1, Endpoint 'actions'.
2024-10-20 18:26:36,411:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'subjects'.
2024-10-20 18:26:36,418:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'cosponsors'.
2024-10-20 18:26:36,423:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 1, Endpoint 'relatedbills'.
2024-10-20 18:26:36,429:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'subjects'.
2024-10-20 18:26:36,431:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'amendments'.
2024-10-20 18:26:36,441:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 1, Endpoint 'amendments'.
2024-10-20 18:26:36,450:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'amendments'.
2024-10-20 18:26:36,462:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 1, Endpoint 'committees'.
2024-10-20 18:26:36,507:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'summaries'.
2024-10-20 18:26:36,564:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'summaries'.
2024-10-20 18:26:36,569:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'cosponsors'.
2024-10-20 18:26:36,578:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 1, Endpoint 'summaries'.
2024-10-20 18:26:36,766:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 1, Endpoint 'subjects'.
2024-10-20 18:26:40,413:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 14, Endpoint 'cosponsors'.
2024-10-20 18:26:40,515:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 14, Endpoint 'summaries'.
2024-10-20 18:26:40,550:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 14, Endpoint 'relatedbills'.
2024-10-20 18:26:40,571:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 14, Endpoint 'committees'.
2024-10-20 18:26:40,575:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 14, Endpoint 'subjects'.
2024-10-20 18:26:40,606:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 14, Endpoint 'amendments'.
2024-10-20 18:26:40,690:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 14, Endpoint 'actions'.
2024-10-20 18:26:40,692:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'cosponsors'.
2024-10-20 18:26:40,724:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'relatedbills'.
2024-10-20 18:26:40,742:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'actions'.
2024-10-20 18:26:40,745:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'subjects'.
2024-10-20 18:26:40,771:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'committees'.
2024-10-20 18:26:40,812:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'summaries'.
2024-10-20 18:26:40,828:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 11, Endpoint 'amendments'.
2024-10-20 18:26:41,118:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'subjects'.
2024-10-20 18:26:41,134:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'committees'.
2024-10-20 18:26:41,137:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'amendments'.
2024-10-20 18:26:41,151:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'cosponsors'.
2024-10-20 18:26:41,165:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'relatedbills'.
2024-10-20 18:26:41,175:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'subjects'.
2024-10-20 18:26:41,199:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'cosponsors'.
2024-10-20 18:26:41,202:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'summaries'.
2024-10-20 18:26:41,207:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'summaries'.
2024-10-20 18:26:41,217:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'actions'.
2024-10-20 18:26:41,226:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'actions'.
2024-10-20 18:26:41,245:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'actions'.
2024-10-20 18:26:41,245:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'cosponsors'.
2024-10-20 18:26:41,245:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'relatedbills'.
2024-10-20 18:26:41,247:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'cosponsors'.
2024-10-20 18:26:41,272:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'relatedbills'.
2024-10-20 18:26:41,281:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'relatedbills'.
2024-10-20 18:26:41,285:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'committees'.
2024-10-20 18:26:41,286:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'summaries'.
2024-10-20 18:26:41,287:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'committees'.
2024-10-20 18:26:41,294:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'amendments'.
2024-10-20 18:26:41,305:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 8, Endpoint 'relatedbills'.
2024-10-20 18:26:41,320:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'summaries'.
2024-10-20 18:26:41,332:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 6, Endpoint 'actions'.
2024-10-20 18:26:41,343:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'amendments'.
2024-10-20 18:26:41,366:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'cosponsors'.
2024-10-20 18:26:41,367:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'amendments'.
2024-10-20 18:26:41,383:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'summaries'.
2024-10-20 18:26:41,388:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'amendments'.
2024-10-20 18:26:41,427:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'subjects'.
2024-10-20 18:26:41,472:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'committees'.
2024-10-20 18:26:41,485:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'subjects'.
2024-10-20 18:26:41,503:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 7, Endpoint 'committees'.
2024-10-20 18:26:41,507:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 3, Endpoint 'subjects'.
2024-10-20 18:26:41,578:ERROR:HTTP error 500 fetching data for Congress 29, Bill sjres 2, Endpoint 'actions'.
2024-10-20 18:32:23,749:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 39, Endpoint 'summaries'.
2024-10-20 18:32:23,761:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 52, Endpoint 'cosponsors'.
2024-10-20 18:32:23,774:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 54, Endpoint 'relatedbills'.
2024-10-20 18:32:23,774:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 54, Endpoint 'cosponsors'.
2024-10-20 18:32:23,851:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 54, Endpoint 'amendments'.
2024-10-20 18:32:23,871:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 52, Endpoint 'actions'.
2024-10-20 18:32:23,894:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 54, Endpoint 'committees'.
2024-10-20 18:32:23,901:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 54, Endpoint 'summaries'.
2024-10-20 18:32:23,903:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 52, Endpoint 'amendments'.
2024-10-20 18:32:23,908:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 54, Endpoint 'actions'.
2024-10-20 18:32:23,920:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 52, Endpoint 'committees'.
2024-10-20 18:32:23,921:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 39, Endpoint 'relatedbills'.
2024-10-20 18:32:23,926:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 52, Endpoint 'subjects'.
2024-10-20 18:32:23,929:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 39, Endpoint 'actions'.
2024-10-20 18:32:23,930:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 39, Endpoint 'cosponsors'.
2024-10-20 18:32:23,939:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 39, Endpoint 'amendments'.
2024-10-20 18:32:23,948:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 52, Endpoint 'relatedbills'.
2024-10-20 18:32:23,982:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 39, Endpoint 'subjects'.
2024-10-20 18:32:23,985:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 54, Endpoint 'subjects'.
2024-10-20 18:32:24,006:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 52, Endpoint 'summaries'.
2024-10-20 18:32:24,103:ERROR:HTTP error 500 fetching data for Congress 9, Bill hr 39, Endpoint 'committees'.
2024-10-20 18:34:55,931:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'relatedbills'.
2024-10-20 18:34:55,966:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'subjects'.
2024-10-20 18:34:56,155:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'cosponsors'.
2024-10-20 18:34:56,161:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'committees'.
2024-10-20 18:34:56,174:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'amendments'.
2024-10-20 18:34:56,219:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'actions'.
2024-10-20 18:34:56,229:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'summaries'.
2024-10-20 18:34:57,241:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'summaries'.
2024-10-20 18:34:57,245:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'subjects'.
2024-10-20 18:34:57,253:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'cosponsors'.
2024-10-20 18:34:57,277:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'committees'.
2024-10-20 18:34:57,303:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'relatedbills'.
2024-10-20 18:34:57,307:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'amendments'.
2024-10-20 18:34:57,333:ERROR:HTTP error 500 fetching data for Congress 37, Bill hr 578, Endpoint 'actions'.
2024-10-20 18:37:13,508:ERROR:HTTP error 500 fetching data for Congress 32, Bill sjres 31, Endpoint 'amendments'.
2024-10-20 18:37:13,513:ERROR:HTTP error 500 fetching data for Congress 32, Bill sjres 31, Endpoint 'actions'.
2024-10-20 18:37:13,523:ERROR:HTTP error 500 fetching data for Congress 32, Bill sjres 31, Endpoint 'committees'.
2024-10-20 18:37:13,526:ERROR:HTTP error 500 fetching data for Congress 32, Bill sjres 31, Endpoint 'cosponsors'.
2024-10-20 18:37:13,531:ERROR:HTTP error 500 fetching data for Congress 32, Bill sjres 31, Endpoint 'subjects'.
2024-10-20 18:37:13,549:ERROR:HTTP error 500 fetching data for Congress 32, Bill sjres 31, Endpoint 'summaries'.
2024-10-20 18:37:13,558:ERROR:HTTP error 500 fetching data for Congress 32, Bill sjres 31, Endpoint 'relatedbills'.
2024-10-20 18:37:34,694:ERROR:HTTP error 500 fetching data for Congress 31, Bill s 16, Endpoint 'subjects'.
2024-10-20 18:37:34,748:ERROR:HTTP error 500 fetching data for Congress 31, Bill s 16, Endpoint 'relatedbills'.
2024-10-20 18:37:34,790:ERROR:HTTP error 500 fetching data for Congress 31, Bill s 16, Endpoint 'actions'.
2024-10-20 18:37:34,816:ERROR:HTTP error 500 fetching data for Congress 31, Bill s 16, Endpoint 'committees'.
2024-10-20 18:37:34,849:ERROR:HTTP error 500 fetching data for Congress 31, Bill s 16, Endpoint 'summaries'.
2024-10-20 18:37:34,947:ERROR:HTTP error 500 fetching data for Congress 31, Bill s 16, Endpoint 'cosponsors'.
2024-10-20 18:37:35,087:ERROR:HTTP error 500 fetching data for Congress 31, Bill s 16, Endpoint 'amendments'.
2024-10-20 18:37:43,714:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 158, Endpoint 'cosponsors'.
2024-10-20 18:37:43,725:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 158, Endpoint 'amendments'.
2024-10-20 18:37:43,725:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 158, Endpoint 'summaries'.
2024-10-20 18:37:43,740:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 158, Endpoint 'relatedbills'.
2024-10-20 18:37:43,846:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 158, Endpoint 'actions'.
2024-10-20 18:37:43,846:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 158, Endpoint 'committees'.
2024-10-20 18:37:44,042:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 158, Endpoint 'subjects'.
2024-10-20 18:37:44,578:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 119, Endpoint 'relatedbills'.
2024-10-20 18:37:44,640:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 119, Endpoint 'cosponsors'.
2024-10-20 18:37:44,656:ERROR:HTTP error 500 fetching data for Congress 30, Bill s 58, Endpoint 'actions'.
2024-10-20 18:37:44,667:ERROR:HTTP error 500 fetching data for Congress 30, Bill hr 119, Endpoint 'summaries'.
